id,protocol,source,destination,sport,dport,avg_size,packet_count,packetssent,packetsreceived,bytessent,bytesreceived,avg_ttl,syn_count,fin_count,ack_count,created_at
2930,6,192.168.101.13,34.139.124.58,51739,443,148,1,1,1,148,148,128,0,0,1,15:41.1
2931,6,104.18.32.47,192.168.101.13,443,49207,60,1,1,1,60,60,61,0,0,1,15:41.1
2932,6,142.251.221.170,192.168.101.13,443,59150,667.3571429,14,14,14,9343,9343,119,1,0,14,15:41.1
2933,6,192.168.101.13,104.18.32.47,49207,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2934,6,192.168.101.13,142.251.221.170,59150,443,293.0833333,12,12,12,3517,3517,128,1,0,11,15:41.1
2935,6,192.168.101.13,3.233.158.24,62337,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2936,6,192.168.101.13,34.139.124.58,51739,443,212.6666667,6,6,6,1276,1276,128,0,0,6,15:41.1
2937,6,3.233.158.24,192.168.101.13,443,62337,60,1,1,1,60,60,61,0,0,1,15:41.1
2938,6,34.104.35.123,192.168.101.13,80,49900,54,1,1,1,54,54,61,0,0,1,15:41.1
2939,6,34.139.124.58,192.168.101.13,443,51739,157.5555556,9,9,9,1418,1418,54,0,0,9,15:41.1
2940,6,172.64.155.209,192.168.101.13,443,64115,60,1,1,1,60,60,61,0,0,1,15:41.1
2941,6,192.168.101.13,172.64.155.209,64115,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2942,6,192.168.101.13,34.104.35.123,49900,80,54,1,1,1,54,54,128,0,0,1,15:41.1
2943,6,192.168.101.13,52.168.112.66,51267,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2944,6,192.168.101.13,74.125.130.188,53079,5228,55,1,1,1,55,55,128,0,0,1,15:41.1
2945,6,34.139.124.58,192.168.101.13,443,61315,60,1,1,1,60,60,61,0,0,1,15:41.1
2946,6,52.168.112.66,192.168.101.13,443,51267,60,1,1,1,60,60,61,0,0,1,15:41.1
2947,6,172.188.155.25,192.168.101.13,443,63943,66,1,1,1,66,66,47,0,0,1,15:41.1
2948,6,192.168.101.13,172.188.155.25,63943,443,55,1,1,1,55,55,128,0,0,1,15:41.1
2949,6,192.168.101.13,34.139.124.58,61315,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2950,6,74.125.130.188,192.168.101.13,5228,53079,66,1,1,1,66,66,119,0,0,1,15:41.1
2951,6,104.18.32.47,192.168.101.13,443,49207,66,1,1,1,66,66,59,0,0,1,15:41.1
2952,6,172.64.148.235,192.168.101.13,443,63413,69,2,2,2,138,138,59,0,0,2,15:41.1
2953,6,192.168.101.13,104.18.32.47,49207,443,55,1,1,1,55,55,128,0,0,1,15:41.1
2954,6,192.168.101.13,172.64.148.235,63413,443,82,1,1,1,82,82,128,0,0,1,15:41.1
2955,6,192.168.101.13,3.233.158.24,62337,443,55,1,1,1,55,55,128,0,0,1,15:41.1
2956,6,192.168.101.13,34.139.124.58,51739,443,244.6666667,6,6,6,1468,1468,128,0,0,6,15:41.1
2957,6,3.233.158.24,192.168.101.13,443,62337,66,1,1,1,66,66,53,0,0,1,15:41.1
2958,6,34.139.124.58,192.168.101.13,443,51739,142,5,5,5,710,710,54,0,0,5,15:41.1
2959,6,172.64.155.209,192.168.101.13,443,64115,66,1,1,1,66,66,59,0,0,1,15:41.1
2960,6,192.168.101.13,172.64.155.209,64115,443,55,1,1,1,55,55,128,0,0,1,15:41.1
2961,6,192.168.101.13,34.139.124.58,51739,443,481.3157895,19,19,19,9145,9145,128,0,0,19,15:41.1
2962,6,192.168.101.13,34.139.124.58,61315,443,55,1,1,1,55,55,128,0,0,1,15:41.1
2963,6,192.168.101.13,4.213.25.240,62884,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2964,6,192.168.101.13,52.168.112.66,51267,443,55,1,1,1,55,55,128,0,0,1,15:41.1
2965,6,34.139.124.58,192.168.101.13,443,51739,193.6111111,18,18,18,3485,3485,54,0,0,18,15:41.1
2966,6,34.139.124.58,192.168.101.13,443,61315,66,1,1,1,66,66,55,0,0,1,15:41.1
2967,6,4.213.25.240,192.168.101.13,443,62884,54,1,1,1,54,54,61,0,0,1,15:41.1
2968,6,52.168.112.66,192.168.101.13,443,51267,66,1,1,1,66,66,101,0,0,1,15:41.1
2969,6,192.168.101.13,34.139.124.58,51739,443,451.3,10,10,10,4513,4513,128,0,0,10,15:41.1
2970,6,3.233.158.24,192.168.101.13,443,62337,560,1,1,1,560,560,53,0,0,1,15:41.1
